,2024-07-18_release,2024-07-20_xrelease,2024-08-02_xrelease,x_change,%_change,warning
ACC-ACC_infra_diff_auth,0.0,0.0,0.0,0.0,,
ACC-ACC_infra_eq_auth,3.0,94.0,17.0,-77.0,-81.91,to_review
ACC-ACC_sp_diff_auth,297.0,2480.0,2281.0,-199.0,-8.02,to_review
ACC-ACC_sp_eq_auth,0.0,739.0,683.0,-56.0,-7.58,to_review
ACC-SYN_infra_diff_acc_diff_auth,6.0,1030.0,1016.0,-14.0,-1.36,
ACC-SYN_infra_diff_acc_eq_auth,3.0,95.0,0.0,-95.0,-100.0,to_review
ACC-SYN_infra_eq_acc_eq_auth,26.0,29.0,27.0,-2.0,-6.9,to_review
ACC-SYN_sp_diff_acc_diff_auth,2078.0,12420.0,12191.0,-229.0,-1.84,
ACC-SYN_sp_diff_acc_eq_auth,128.0,620.0,621.0,1.0,0.16,
ACC-SYN_sp_eq_acc_eq_auth,34.0,46.0,44.0,-2.0,-4.35,
any_uninomial,3328.0,6037.0,6081.0,44.0,0.73,
ident_superfamily,0.0,0.0,0.0,0.0,,
ident_family,1.0,1.0,1.0,0.0,0.0,
ident_genus,2388.0,4765.0,4807.0,42.0,0.88,
ident_order,0.0,0.0,0.0,0.0,,
ident_subgenus,5.0,5.0,5.0,0.0,0.0,
ident_tribe,2.0,2.0,2.0,0.0,0.0,
SYN-SYN_infra_diff_acc_diff_auth,30.0,3035.0,3008.0,-27.0,-0.89,
SYN-SYN_infra_diff_acc_eq_auth,25.0,188.0,188.0,0.0,0.0,
SYN-SYN_infra_eq_acc_diff_auth,5143.0,17481.0,17475.0,-6.0,-0.03,
SYN-SYN_infra_eq_acc_eq_auth,3.0,229.0,195.0,-34.0,-14.85,to_review
SYN-SYN_sp_diff_acc_diff_auth,3650.0,23406.0,23024.0,-382.0,-1.63,
SYN-SYN_sp_diff_acc_eq_auth,218.0,1092.0,1099.0,7.0,0.64,
SYN-SYN_sp_eq_acc_diff_auth,11970.0,50997.0,50359.0,-638.0,-1.25,
SYN-SYN_sp_eq_acc_eq_auth,31.0,746.0,748.0,2.0,0.27,
