,COL24.8_release,COL-2024-08-02_xrelease,COL-2024-08-11_xrelease,x_change,%_change,warning
nameCount,5203971,9001216,9227005,225789,2.51,to_review
synonymCount,2592489,3937621,3939240,1619,0.04,
speciesNames,4168036,4811316,4816619,5303,0.11,
varietyNames,295067,412143,412462,319,0.08,
genusNames,287593,351350,351756,406,0.12,
subspeciesNames,281816,348922,349425,503,0.14,
formNames,58678,85348,85559,211,0.25,
unrankedNames,18120,2889384,3108381,218997,7.58,to_review
familyNames,17242,21738,21740,2,0.01,
otherNames,962,2194,2194,0,0.0,
speciesTaxa,2179069,2480855,2484736,3881,0.16,
varietyTaxa,25986,59206,59457,251,0.42,
genusTaxa,211837,243699,244081,382,0.16,
subspeciesTaxa,146968,175082,175532,450,0.26,
formTaxa,841,8175,8357,182,2.23,to_review
unrankedTaxa,4,2047739,2266736,218997,10.69,to_review
familyTaxa,14196,16303,16305,2,0.01,
otherTaxa,1,1,1,0,0.0,
acceptedstatus,2526294,4932307,5156017,223710,4.54,to_review
synonymstatus,2457524,3798537,3800155,1618,0.04,
ambiguous synonymstatus,125639,127467,127467,0,0.0,
provisionally acceptedstatus,85188,131288,131748,460,0.35,
misappliedstatus,9326,11617,11618,1,0.01,
