,COL24.8_release,COL-2024-08-02_xrelease,COL-2024-08-11_xrelease,x_change,%_change,warning
key,301450,300563,301258,695,0.23,
classification rank order invalid,15,3919,3954,35,0.89,
homotypic consolidation,0,57650,57920,270,0.47,
homotypic consolidation unresolved,0,654558,655575,1017,0.16,
inconsistent name,765,1538,1538,0,0.0,
missing genus,0,5176,5188,12,0.23,
multi word epithet,10,783,783,0,0.0,
multi word monomial,2,133,133,0,0.0,
multiple basionyms,0,1517576,1518969,1393,0.09,
parent name mismatch,4386,38418,38798,380,0.99,
parent species missing,0,329,343,14,4.26,
published before genus,3370,21896,21901,5,0.02,
rank name suffix conflict,1575,8158,8161,3,0.04,
sync outside target,0,567538,570158,2620,0.46,
synonym parent,0,1670,1676,6,0.36,
unlikely year,530,1755,1762,7,0.4,
unmatched name brackets,13,42,42,0,0.0,
unusual name characters,233,1757,1759,2,0.11,
uppercase epithet,0,16,17,1,6.25,
wrong monomial case,2,110,111,1,0.91,
